Line,Station Name,Count
Island line,Kennedy Town,1
Island line,HKU,1
Island line,Sai Ying Pun,1
Island line,Sheung Wan,1
Island line,Central,2
Island line,Admiralty,4
Island line,Wan Chai,1
Island line,Causeway Bay,1
Island line,Tin Hau,1
Island line,Fortress Hill,1
Island line,North Point,2
Island line,Quarry Bay,2
Island line,Tai Koo,1
Island line,Sai Wan Ho,1
Island line,Shau Kei Wan,1
Island line,Heng Fa Chuen,1
Island line,Chai Wan,1
Tsuen Wan Line,Tsuen Wan,1
Tsuen Wan Line,Tai Wo Hau,1
Tsuen Wan Line,Kwai Hing,1
Tsuen Wan Line,Kwai Fong,1
Tsuen Wan Line,Lai King,2
Tsuen Wan Line,Mei Foo,2
Tsuen Wan Line,Lai Chi Kok,1
Tsuen Wan Line,Cheung Sha Wan,1
Tsuen Wan Line,Sham Shui Po,1
Tsuen Wan Line,Prince Edward,2
Tsuen Wan Line,Mong Kok,2
Tsuen Wan Line,Yau Ma Tei,2
Tsuen Wan Line,Jordan,1
Tsuen Wan Line,Tsim Sha Tsui,1
Tsuen Wan Line,Admiralty,4
Tsuen Wan Line,Central,2
Kwun Tong Line,Tiu Keng Leng,2
Kwun Tong Line,Yau Tong,2
Kwun Tong Line,Lam Tin,1
Kwun Tong Line,Kwun Tong,1
Kwun Tong Line,Ngau Tau Kok,1
Kwun Tong Line,Kowloon Bay,1
Kwun Tong Line,Choi Hung,1
Kwun Tong Line,Diamond Hill,2
Kwun Tong Line,Wong Tai Sin,1
Kwun Tong Line,Lok Fu,1
Kwun Tong Line,Kowloon Tong,2
Kwun Tong Line,Shek Kip Mei,1
Kwun Tong Line,Prince Edward,2
Kwun Tong Line,Mong Kok,2
Kwun Tong Line,Yau Ma Tei,2
Kwun Tong Line,Ho Man Tin,2
Kwun Tong Line,Whampoa,1
South Island Line,Admiralty,4
South Island Line,Ocean Park,1
South Island Line,Wong Chuk Hang,1
South Island Line,Lei Tung,1
South Island Line,South Horizons,1
Tseung Kwan O Line,LOHAS Park,1
Tseung Kwan O Line,Po Lam,1
Tseung Kwan O Line,Hang Hau,1
Tseung Kwan O Line,Tseung Kwan O,1
Tseung Kwan O Line,Tiu Keng Leng,2
Tseung Kwan O Line,Yau Tong,2
Tseung Kwan O Line,Quarry Bay,2
Tseung Kwan O Line,North Point,2
Tung Chung Line & Disneyland Resort Line,Hong Kong,2
Tung Chung Line & Disneyland Resort Line,Kowloon,2
Tung Chung Line & Disneyland Resort Line,Olympic,1
Tung Chung Line & Disneyland Resort Line,Nam Cheong,2
Tung Chung Line & Disneyland Resort Line,Lai King,2
Tung Chung Line & Disneyland Resort Line,Tsing Yi,2
Tung Chung Line & Disneyland Resort Line,Sunny Bay,1
Tung Chung Line & Disneyland Resort Line,Disneyland Resort,1
Tung Chung Line & Disneyland Resort Line,Tung Chung,1
East Rail Line,Admiralty,4
East Rail Line,Exhibition Centre,1
East Rail Line,Hung Hom,2
East Rail Line,Mong Kok East,1
East Rail Line,Kowloon Tong,2
East Rail Line,Tai Wai,2
East Rail Line,Sha Tin,1
East Rail Line,Fo Tan,1
East Rail Line,Racecourse,1
East Rail Line,University,1
East Rail Line,Tai Po Market,1
East Rail Line,Tai Wo,1
East Rail Line,Fanling,1
East Rail Line,Sheung Shui,1
East Rail Line,Lo Wu,1
East Rail Line,Lok Ma Chau,1
Tuen Ma Line,Tuen Mun,1
Tuen Ma Line,Siu Hong,1
Tuen Ma Line,Tin Shui Wai,1
Tuen Ma Line,Long Ping,1
Tuen Ma Line,Yuen Long,1
Tuen Ma Line,Kam Sheung Road,1
Tuen Ma Line,Tsuen Wan West,1
Tuen Ma Line,Mei Foo,2
Tuen Ma Line,Nam Cheong,2
Tuen Ma Line,Austin,1
Tuen Ma Line,East Tsim Sha Tsui,1
Tuen Ma Line,Hung Hom,2
Tuen Ma Line,Ho Man Tin,2
Tuen Ma Line,To Kwa Wan,1
Tuen Ma Line,Sung Wong Toi,1
Tuen Ma Line,Kai Tak,1
Tuen Ma Line,Diamond Hill,2
Tuen Ma Line,Hin Keng,1
Tuen Ma Line,Tai Wai,2
Tuen Ma Line,Che Kung Temple,1
Tuen Ma Line,Sha Tin Wai,1
Tuen Ma Line,City One,1
Tuen Ma Line,Shek Mun,1
Tuen Ma Line,Tai Shui Hang,1
Tuen Ma Line,Heng On,1
Tuen Ma Line,Ma On Shan,1
Tuen Ma Line,Wu Kai Sha,1
Airport Express,Hong Kong,2
Airport Express,Kowloon,2
Airport Express,Tsing Yi,2
Airport Express,Airport,1
Airport Express,AsiaWorld-Expo,1
