Line,Station Name,Count
Asakusa Line,Nishi-magome,1
Asakusa Line,Magome,1
Asakusa Line,Nakanobu,1
Asakusa Line,Togoshi,1
Asakusa Line,Gotanda,1
Asakusa Line,Takanawadai,1
Asakusa Line,Sengakuji,1
Asakusa Line,Mita,2
Asakusa Line,Daimon,2
Asakusa Line,Shimbashi,2
Asakusa Line,Higashi-ginza,2
Asakusa Line,Takaracho,1
Asakusa Line,Nihombashi,3
Asakusa Line,Ningyocho,2
Asakusa Line,Higashi-nihombashi,1
Asakusa Line,Asakusabashi,1
Asakusa Line,Kuramae,2
Asakusa Line,Asakusa,2
Asakusa Line,Honjo-azumabashi,1
Asakusa Line,Oshiage,2
Mita Line,Meguro,2
Mita Line,Shirokanedai,2
Mita Line,Shirokane-takanawa,2
Mita Line,Mita,2
Mita Line,Shibakoen,1
Mita Line,Onarimon,1
Mita Line,Uchisaiwaicho,1
Mita Line,Hibiya,3
Mita Line,Ōtemachi,5
Mita Line,Jimbocho,3
Mita Line,Suidobashi,1
Mita Line,Kasuga,2
Mita Line,Hakusan,1
Mita Line,Sengoku,1
Mita Line,Sugamo,1
Mita Line,Nishi-sugamo,1
Mita Line,Shin-itabashi,1
Mita Line,Itabashikuyakushomae,1
Mita Line,Itabashihoncho,1
Mita Line,Motohasunuma,1
Mita Line,Shimura-sakaue,1
Mita Line,Shimura-sanchome,1
Mita Line,Hasune,1
Mita Line,Nishidai,1
Mita Line,Takashimadaira,1
Mita Line,Shin-takashimadaira,1
Mita Line,Nishi-takashimadaira,1
Shinjuku Line,Shinjuku,3
Shinjuku Line,Shinjuku-sanchome,3
Shinjuku Line,Akebonobashi,1
Shinjuku Line,Ichigaya,3
Shinjuku Line,Kudanshita,3
Shinjuku Line,Jimbocho,3
Shinjuku Line,Ogawamachi,1
Shinjuku Line,Iwamotocho,1
Shinjuku Line,Bakuro-yokoyama,1
Shinjuku Line,Hamacho,1
Shinjuku Line,Morishita,2
Shinjuku Line,Kikukawa,1
Shinjuku Line,Sumiyoshi,2
Shinjuku Line,Nishi-ojima,1
Shinjuku Line,Ojima,1
Shinjuku Line,Higashi-ojima,1
Shinjuku Line,Funabori,1
Shinjuku Line,Ichinoe,1
Shinjuku Line,Mizue,1
Shinjuku Line,Shinozaki,1
Shinjuku Line,Motoyawata,1
Oedo Line,Tochomae,2
Oedo Line,Shinjuku-nishiguchi,1
Oedo Line,Higashi-shinjuku,2
Oedo Line,Wakamatsu-kawada,1
Oedo Line,Ushigome-yanagicho,1
Oedo Line,Ushigome-kagurazaka,1
Oedo Line,Iidabashi,4
Oedo Line,Kasuga,2
Oedo Line,Hongo-sanchome,1
Oedo Line,Ueno-okachimachi,1
Oedo Line,Shin-okachimachi,1
Oedo Line,Kuramae,2
Oedo Line,Ryogoku,1
Oedo Line,Morishita,2
Oedo Line,Kiyosumi-shirakawa,2
Oedo Line,Monzen-Nakachō,2
Oedo Line,Tsukishima,2
Oedo Line,Kachidoki,1
Oedo Line,Tsukijishijo,1
Oedo Line,Shiodome,1
Oedo Line,Daimon,2
Oedo Line,Akabanebashi,1
Oedo Line,Azabu-juban,2
Oedo Line,Roppongi,2
Oedo Line,Aoyama-itchome,3
Oedo Line,Kokuritsu-kyogijo,1
Oedo Line,Yoyogi,1
Oedo Line,Shinjuku,3
Oedo Line,Tochomae,2
Oedo Line,Nishi-shinjuku-gochome,1
Oedo Line,Nakano-sakaue,3
Oedo Line,Higashi-nakano,1
Oedo Line,Nakai,1
Oedo Line,Ochiai-minami-nagasaki,1
Oedo Line,Shin-egota,1
Oedo Line,Nerima,1
Oedo Line,Toshimaen,1
Oedo Line,Nerima-kasugacho,1
Oedo Line,Hikarigaoka,1
Rinkai Line,Shin-Kiba,2
Rinkai Line,Shinonome,1
Rinkai Line,Kokusai-Tenjijō,1
Rinkai Line,Tokyo Teleport,1
Rinkai Line,Tennōzu Isle,1
Rinkai Line,Shinagawa Seaside,1
Rinkai Line,Ōimachi,1
Rinkai Line,Ōsaki,1
Ginza Line,Shibuya,3
Ginza Line,Omotesandō,3
Ginza Line,Gaiemmae,1
Ginza Line,Aoyama-itchome,3
Ginza Line,Akasaka-Mitsuke,2
Ginza Line,Tameike-Sannō,2
Ginza Line,Toranomon,1
Ginza Line,Shimbashi,2
Ginza Line,Ginza,3
Ginza Line,Kyōbashi,1
